AbJahr,AbSemester,Modulnummer,Modul,Acronym,Art,Credits,Semester,Wochenstunden,Studienrichtung,Richtung,Professor,PVL,APL,schriftliche Prüfung,mündliche Prüfung
11,WiSe,I170,Informationssicherheit,INF,Pflichtmodul,5.0,1.0,4.0,73,Computergrafik und Medientechnologien,,,,,
11,WiSe,I176,IT-Vertragsrecht,ITV,Pflichtmodul,3.0,1.0,2.0,73,Computergrafik und Medientechnologien,,,,,
11,WiSe,I143,Erweiterte Datenbanktechnologien/ Medienarchive,EDM,Pflichtmodul,5.0,1.0,4.0,73,Computergrafik und Medientechnologien,,,,,
11,WiSe,I886,Mathematische/Stochastische Modelle,MSM,Pflichtmodul,5.0,1.0,4.0,73,Computergrafik und Medientechnologien,,,,,
11,WiSe,I523,3D-Programmierung,3DP,Pflichtmodul,5.0,1.0,4.0,73,Computergrafik und Medientechnologien,,,,,
11,WiSe,I753,Mensch-Maschine-Kommunikation/Robotik,MMKR,Pflichtmodul,5.0,1.0,4.0,73,Computergrafik und Medientechnologien,,,,,
11,WiSe,I778,Marketing/ Unternehmensfühung,MAU,Pflichtmodul,2.0,1.0,2.0,73,Computergrafik und Medientechnologien,,,,,
11,WiSe,I779,Digitaler Rundfunk/ Medientechnik,DRM,Pflichtmodul,3.0,2.0,3.0,73,Computergrafik und Medientechnologien,,,,,
11,WiSe,I762,Fortgeschrittene Computeranimation,FOC,Pflichtmodul,4.0,2.0,3.0,73,Computergrafik und Medientechnologien,,,,,
11,WiSe,I745,Interaktions-/Spieletechniken,INS,Pflichtmodul,8.0,3.0,3.0,73,Computergrafik und Medientechnologien,,,,,
11,WiSe,I364,Digitales Compositing/ Medienproduktion,DCM,Pflichtmodul,8.0,3.0,3.0,73,Computergrafik und Medientechnologien,,,,,
11,WiSe,I740,Computer Vision / Bildverstehen,CVB,Pflichtmodul,5.0,2.0,4.0,73,Computergrafik und Medientechnologien,,,,,
11,WiSe,I728,Fotografie/Bildgestaltung,FOB,Pflichtmodul,2.0,3.0,2.0,73,Computergrafik und Medientechnologien,,,,,
11,WiSe,I365,Medienpsychologie,MED,Pflichtmodul,5.0,3.0,4.0,73,Computergrafik und Medientechnologien,,,,,
11,WiSe,I705,Forschungs-/Entwicklungsprojekt / Forschungsseminar,FEF,Pflichtmodul,10.0,3.0,3.0,73,Computergrafik und Medientechnologien,,,,,
11,WiSe,I707,Masterarbeit,MAS,Pflichtmodul,30.0,4.0,0.0,73,Computergrafik und Medientechnologien,,,,,
11,WiSe,I760,Mobile Netze,MON,Wahlpflichtmodul,5.0,2.0,4.0,73,Computergrafik und Medientechnologien,,,,,
11,WiSe,I870,Formale Verifikation,FOV,Wahlpflichtmodul,5.0,2.0,4.0,73,Computergrafik und Medientechnologien,,,,,
11,WiSe,I730,Echtzeitsysteme,ECH,Wahlpflichtmodul,5.0,3.0,4.0,73,Computergrafik und Medientechnologien,,,,,
11,WiSe,I845,Wissenschaftlich-technische Visualisierung,WTV,Wahlpflichtmodul,5.0,3.0,4.0,73,Computergrafik und Medientechnologien,,,,,
11,WiSe,I820,Kontinuierliche Simulation,KOS,Wahlpflichtmodul,5.0,3.0,4.0,73,Computergrafik und Medientechnologien,,,,,
11,SoSe,I170,Informationssicherheit,INF,Pflichtmodul,5.0,1.0,4.0,73,Computergrafik und Medientechnologien,,,,,
11,SoSe,I176,IT-Vertragsrecht,ITV,Pflichtmodul,3.0,1.0,2.0,73,Computergrafik und Medientechnologien,,,,,
11,SoSe,I143,Erweiterte Datenbanktechnologien/ Medienarchive,EDM,Pflichtmodul,5.0,1.0,4.0,73,Computergrafik und Medientechnologien,,,,,
11,SoSe,I886,Mathematische/Stochastische Modelle,MSM,Pflichtmodul,5.0,1.0,4.0,73,Computergrafik und Medientechnologien,,,,,
11,SoSe,I523,3D-Programmierung,3DP,Pflichtmodul,5.0,1.0,4.0,73,Computergrafik und Medientechnologien,,,,,
11,SoSe,I753,Mensch-Maschine-Kommunikation/Robotik,MMKR,Pflichtmodul,5.0,1.0,4.0,73,Computergrafik und Medientechnologien,,,,,
11,SoSe,I778,Marketing/ Unternehmensfühung,MAU,Pflichtmodul,2.0,1.0,2.0,73,Computergrafik und Medientechnologien,,,,,
11,SoSe,I779,Digitaler Rundfunk/ Medientechnik,DRM,Pflichtmodul,3.0,3.0,3.0,73,Computergrafik und Medientechnologien,,,,,
11,SoSe,I762,Fortgeschrittene Computeranimation,FOC,Pflichtmodul,4.0,3.0,3.0,73,Computergrafik und Medientechnologien,,,,,
11,SoSe,I745,Interaktions-/Spieletechniken,INS,Pflichtmodul,8.0,3.0,3.0,73,Computergrafik und Medientechnologien,,,,,
11,SoSe,I364,Digitales Compositing/ Medienproduktion,DCM,Pflichtmodul,8.0,3.0,3.0,73,Computergrafik und Medientechnologien,,,,,
11,SoSe,I740,Computer Vision / Bildverstehen,CVB,Pflichtmodul,5.0,3.0,4.0,73,Computergrafik und Medientechnologien,,,,,
11,SoSe,I728,Fotografie/Bildgestaltung,FOB,Pflichtmodul,2.0,2.0,2.0,73,Computergrafik und Medientechnologien,,,,,
11,SoSe,I365,Medienpsychologie,MED,Pflichtmodul,5.0,2.0,4.0,73,Computergrafik und Medientechnologien,,,,,
11,SoSe,I705,Forschungs-/Entwicklungsprojekt / Forschungsseminar,FEF,Pflichtmodul,10.0,3.0,3.0,73,Computergrafik und Medientechnologien,,,,,
11,SoSe,I707,Masterarbeit,MAS,Pflichtmodul,30.0,4.0,0.0,73,Computergrafik und Medientechnologien,,,,,
11,SoSe,I760,Mobile Netze,MON,Wahlpflichtmodul,5.0,3.0,4.0,73,Computergrafik und Medientechnologien,,,,,
11,SoSe,I870,Formale Verifikation,FOV,Wahlpflichtmodul,5.0,3.0,4.0,73,Computergrafik und Medientechnologien,,,,,
11,SoSe,I730,Echtzeitsysteme,ECH,Wahlpflichtmodul,5.0,2.0,4.0,73,Computergrafik und Medientechnologien,,,,,
11,SoSe,I845,Wissenschaftlich-technische Visualisierung,WTV,Wahlpflichtmodul,5.0,2.0,4.0,73,Computergrafik und Medientechnologien,,,,,
11,SoSe,I820,Kontinuierliche Simulation,KOS,Wahlpflichtmodul,5.0,2.0,4.0,73,Computergrafik und Medientechnologien,,,,,
18,WiSe,I143,Erweiterte Datenbanktechnologien/Medienarchive,EDM,Pflichtmodul,5.0,1.0,4.0,74,Data Science,Prof. Dr.-Ing. Maik Thiele,False,False,True,False
18,WiSe,I170,Informationssicherheit,INF,Pflichtmodul,5.0,1.0,4.0,74,Data Science,Prof. Dr.-Ing. Robert Baumgartl,False,False,True,False
18,WiSe,I176,IT-Vertragsrecht,ITV,Pflichtmodul,3.0,1.0,2.0,74,Data Science,Prof. Dr.-Ing. Andreas Westfeld,False,True,False,False
18,WiSe,I725,Parallele Algorithmierung,PAA,Pflichtmodul,5.0,1.0,4.0,74,Data Science,Prof. Dr.-Ing. habil. Peter Sobe,False,False,True,False
18,WiSe,I830,Lineare und nichtlineare Optimierung,LNO,Pflichtmodul,4.0,1.0,4.0,74,Data Science,Prof. Dr. rer. nat. Kerstin Dächert-Pauly,False,False,False,True
18,WiSe,I836,Mathematisch-stochastische Modelle: Markovketten und Monte-Carlo-Simulationen,MSMMMCS,Pflichtmodul,5.0,1.0,4.0,74,Data Science,Prof. Dr. rer. nat. Anja Voß-Böhme,False,False,True,False
18,WiSe,I265,Diskrete Simulation,DIS,Pflichtmodul,5.0,2.0,4.0,74,Data Science,Prof. Dr.-Ing. Thomas Wiedemann,False,False,True,False
18,WiSe,I705,Forschungs-/Entwicklungsprojekt / Forschungsseminar,FEF,Pflichtmodul,10.0,3.0,4.0,74,Data Science,Prof. Dr. rer. nat. Anja Voß-Böhme,False,True,False,False
18,WiSe,I833,Deep Learning,DEL,Pflichtmodul,5.0,2.0,4.0,74,Data Science,PD Prof. Dr.-Ing. habil. Hans-Joachim Böhme,False,False,False,True
18,WiSe,I834,Mehrdimensionale Datenanalyse und statistische Lernverfahren,MDSL,Pflichtmodul,5.0,2.0,4.0,74,Data Science,Prof. Dr. rer. nat. Fabian Schwarzenberger,False,False,False,True
18,WiSe,I837,"Mathematisch-stochastische Modelle: Stochastische Prozesse, Spieltheorie, Zeitreihen",MSMSPSZ,Pflichtmodul,5.0,2.0,4.0,74,Data Science,Prof. Dr. rer. nat. Anja Voß-Böhme,False,False,True,False
18,WiSe,I788,Wissenschaftliches Rechnen,WIR,Pflichtmodul,5.0,3.0,4.0,74,Data Science,PD Prof. Dr. rer. nat. habil. Michael Jung,False,False,False,True
18,WiSe,I820,Kontinuierliche Simulation,KOS,Pflichtmodul,5.0,3.0,4.0,74,Data Science,Prof. Dr. rer. nat. habil. Jörg Wensch,False,False,True,False
18,WiSe,I832,Algorithmik,ALG,Pflichtmodul,5.0,2.0,4.0,74,Data Science,Prof. Dr. rer. nat. Boris Hollas,False,False,False,True
18,WiSe,I707,Masterarbeit,MAS,Pflichtmodul,30.0,4.0,0.0,74,Data Science,Prof. Dr.-Ing. Maik Thiele,False,False,True,True
18,WiSe,I282,Numerische Mathematik,NUM,Pflichtmodul,3.0,1.0,2.0,74,Data Science,PD Prof. Dr. rer. nat. habil. Michael Jung,False,False,True,False
18,WiSe,I840,Software-Engineering-Projekt,SEP,Pflichtmodul,3.0,1.0,2.0,74,Data Science,Prof. Dr.-Ing. habil. Dirk Müller,False,True,False,False
